Mots avec des préfixes multiples et un suffixe avec l'unicité :
-------------------------------------------------------------
abiogenèse | CRÉATION  SANS DE LA VIE | genèse - a - bio | gène - a+bio
hypophysiotrope | ORIENTATION  INFÉRIEUR(E) DU CORPS | trope - hypo - physio | trope - +physio
hypoprotéinémie | SANG  INFÉRIEUR(E) DE LA PROTÉINE | émie - hypo - protéin |  - +
hyposidérémie | SANG  INFÉRIEUR(E) DU FER | émie - hypo - sidér |  - +sidéro
hypostéatolyse | DÉCOMPOSITION  INFÉRIEUR(E) DE LA GRAISSE | lyse - hypo - stéato |  - +stéato
hyposynchrone | TEMPS  INFÉRIEUR(E) AVEC | chrone - hypo - syn | chrono - +syn
hypothermique | À PROPOS  INFÉRIEUR(E) DE LA CHALEUR | ique - hypo - therm |  - +thermo
hystérandrique | À PROPOS  DE LA MATRICE DE L'HOMME / DU MALE | ique - hystér - andr |  - +andro
hystérocystique | À PROPOS  DE LA MATRICE DE LA VESSIE -> DE LA VÉSICULE | ique - hystéro - cyst |  - +
hystérocystocèle | TUMEUR / HERNIE  DE LA MATRICE DE LA VESSIE -> DE LA VÉSICULE | cèle - hystéro - cysto |  - +
hystérostomatome | COUPURE  DE LA MATRICE DE LA BOUCHE | tome - hystéro - stoma | tomo - +
ichtyopathologie | ÉTUDE  DU POISSON DE LA MALADIE | logie - ichtyo - patho | logo - ichtyo+patho (souffrance)
ichtyosarcotoxisme | DOCTRINE / ÉTAT / PROFESSION  DU POISSON DE LA CHAIR TOXIQUE | isme - ichtyo - sarco - tox |  - ichtyo++
idiochromosome | CORPS  PROPRE DE LA COULEUR | some - idio - chromo | somato - +chromo
idiocyclophane | APPARITION  PROPRE DE LA ROUE | phane - idio - cyclo |  - +cyclo
idiosyncratique | GOUVERNANCE  PROPRE AVEC | cratique - idio - syn | crate - +syn
immunoblastique | À PROPOS  DE LA DÉFENSE DU GERME | ique - immuno - blast |  - +
immunocalcique | À PROPOS  DE LA DÉFENSE DU CALCIUM | ique - immuno - calc |  - +
immunochimiothérapie | MÉDECINE  DE LA DÉFENSE DE LA CHIMIE | thérapie - immuno - chimio | thérapie - +chimie
immunocytochimie | CHIMIE  DE LA DÉFENSE DE LA CELLULE | chimie - immuno - cyto | chimie - +
immunocytolyse | DÉCOMPOSITION  DE LA DÉFENSE DE LA CELLULE | lyse - immuno - cyto |  - +
immunohématologie | ÉTUDE  DE LA DÉFENSE DU SANG | logie - immuno - hémato | logo - +
immunohématologique | ÉTUDE  DE LA DÉFENSE DU SANG | logique - immuno - hémato | logo - +
immunohématologiste | SPÉCIALISTE  DE LA DÉFENSE DU SANG | logiste - immuno - hémato | logo - +
immunohistochimie | CHIMIE  DE LA DÉFENSE DE LA TRAME / DU TISSU | chimie - immuno - histo | chimie - +
immunoleucopénie | PAUVRETÉ  DE LA DÉFENSE BLANC(HE) | pénie - immuno - leuco |  - +
immunomicroscopie | EXAMEN  DE LA DÉFENSE PETIT(E) | scopie - immuno - micro | scope - +micro
immunopathologie | ÉTUDE  DE LA DÉFENSE DE LA MALADIE | logie - immuno - patho | logo - +patho (souffrance)
immunopathologique | ÉTUDE  DE LA DÉFENSE DE LA MALADIE | logique - immuno - patho | logo - +patho (souffrance)
immunopathologiste | SPÉCIALISTE  DE LA DÉFENSE DE LA MALADIE | logiste - immuno - patho | logo - +patho (souffrance)
immunopharmacologie | ÉTUDE  DE LA DÉFENSE DU MÉDICAMENT | logie - immuno - pharmaco | logo - +
immunoprophylaxie | PROTECTION  DE LA DÉFENSE DEVANT / EN FAVEUR DE / À LA PLACE DE | phylaxie - immuno - pro |  - +
immunosérologique | ÉTUDE  DE LA DÉFENSE DU SÉRUM | logique - immuno - séro | logo - +
immunothrombopénie | PAUVRETÉ  DE LA DÉFENSE DU CAILLOT | pénie - immuno - thrombo |  - +
infradiathermie | CHALEUR  SOUS À TRAVERS | thermie - infra - dia | thermo - +
inframastite | INFLAMMATION  SOUS DU SEIN | ite - infra - mast |  - +
inframicrobiologie | ÉTUDE  SOUS PETIT(E) DE LA VIE | logie - infra - micro - bio | logo - +micro+bio
infrasonothérapie | MÉDECINE  SOUS DU SON | thérapie - infra - sono | thérapie - +sono
infrathermothérapie | MÉDECINE  SOUS DE LA CHALEUR | thérapie - infra - thermo | thérapie - +thermo
interatomique | DÉCOUPE  ENTRE SANS | tomique - inter - a | tomo - inter+a
interhémisphérique | SPHÈRE  ENTRE À MOITIÉ | sphérique - inter - hémi |  - inter+
intermétallique | À PROPOS  ENTRE DU MÉTAL | ique - inter - métall |  - inter+
interpsychologie | ÉTUDE  ENTRE DE L'ÂME | logie - inter - psycho | logo - inter+
intraatomique | DÉCOUPE  DE L'INTÉRIEUR SANS | tomique - intra - a | tomo - +a
intracytoplasmique | À PROPOS  DE L'INTÉRIEUR DE LA CELLULE DE LA FORMATION | ique - intra - cyto - plasm |  - ++plasmo
intraépidermique | PEAU  DE L'INTÉRIEUR SUR | dermique - intra - épi |  - +
intrahépatique | À PROPOS  DE L'INTÉRIEUR DU FOIE | ique - intra - hépat |  - +
intrapsychique | À PROPOS  DE L'INTÉRIEUR DE L'ÂME | ique - intra - psych |  - +
iridocyclite | INFLAMMATION  DE L'IRIS DE LA ROUE | ite - irido - cycl |  - +cyclo
iridodialyse | DÉCOMPOSITION  DE L'IRIS À TRAVERS | lyse - irido - dia |  - +
isoamylique | À PROPOS  IDENTIQUE DE LA FARINE / DE L'AMIDON | ique - iso - amyl |  - iso+
isoantigène | GÉNÉRATEUR / ORIGINE  IDENTIQUE CONTRE | gène - iso - anti | gène - iso+anti
isobarométrique | MESURAGE  IDENTIQUE DE LA PESANTEUR | métrique - iso - baro | métro (métron) - iso+baro
isobarycentre | CENTRE  IDENTIQUE LOURD(E) | centre - iso - bary | centro - iso+baro
isochromatique | À PROPOS  IDENTIQUE DE LA COULEUR | ique - iso - chromat |  - iso+chromo
isochromosome | CORPS  IDENTIQUE DE LA COULEUR | some - iso - chromo | somato - iso+chromo
isocyanique | À PROPOS  IDENTIQUE BLEU(E) | ique - iso - cyan |  - iso+
isoélectronique | À PROPOS  IDENTIQUE DE L'AMBRE -> DE L'ÉLECTRICITÉ | ique - iso - électron |  - iso+électricité
isoépitype | EMPREINTE  IDENTIQUE SUR | type - iso - épi |  - iso+
isogéotherme | CHALEUR  IDENTIQUE DE LA TERRE | therme - iso - géo | thermo - iso+géo
isoglycémie | SANG  IDENTIQUE DU SUCRE | émie - iso - glyc |  - iso+glyco
isonéotype | EMPREINTE  IDENTIQUE NOUVEAU (-VELLE) | type - iso - néo |  - iso+
isopérimètre | MESUREUR  IDENTIQUE AUTOUR | mètre - iso - péri | métro (métron) - iso+péri
isopérimétrie | MESURE  IDENTIQUE AUTOUR | métrie - iso - péri | métro (métron) - iso+péri
isopérimétrique | MESURAGE  IDENTIQUE AUTOUR | métrique - iso - péri | métro (métron) - iso+péri
isoschizomère | PARTIE  IDENTIQUE FENDU(E) | mère - iso - schizo |  - iso+
isosyntype | EMPREINTE  IDENTIQUE AVEC | type - iso - syn |  - iso+syn
isothermique | À PROPOS  IDENTIQUE DE LA CHALEUR | ique - iso - therm |  - iso+thermo
isothermognosie | CONNAISSANCE  IDENTIQUE DE LA CHALEUR | gnosie - iso - thermo |  - iso+thermo
isotopomère | PARTIE  IDENTIQUE DU LIEU | mère - iso - topo |  - iso+
kilogrammètre | MESUREUR  MILLE DE L'ÉCRITURE | mètre - kilo - gram | métro (métron) - +gramma
lactobutyromètre | MESUREUR  DU LAIT DU BEURRE | mètre - lacto - butyro | métro (métron) - lacto+
lactodensimètre | MESUREUR  DU LAIT DENSE | mètre - lacto - densi | métro (métron) - lacto+
latérofibroscope | VISIONNEUSE  À COTÉ À L’EXTRÉMITÉ -> DE LA FIBRE | scope - latéro - fibro | scope - +
lépidoblastique | À PROPOS  DE L'ÉCAILLE DU GERME | ique - lépido - blast |  - +
lépidoptérologie | ÉTUDE  DE L'ÉCAILLE DE L'AILE | logie - lépido - ptéro | logo - +
lépidoptérophile | AMOUREUX  DE L'ÉCAILLE DE L'AILE | phile - lépido - ptéro | philo - +
leucoblastémie | SANG  BLANC(HE) DU GERME | émie - leuco - blast |  - +
leucoblastique | À PROPOS  BLANC(HE) DU GERME | ique - leuco - blast |  - +
leucoblasturie | URINE  BLANC(HE) DU GERME | urie - leuco - blast |  - +
leucoconcentration | ACTION  BLANC(HE) AVEC DU CENTRE | ation - leuco - con - centr | ation - ++centro
leucocytoïde | APPARENCE  BLANC(HE) DE LA CELLULE | ïde - leuco - cyto |  - +
leucocytolyse | DÉCOMPOSITION  BLANC(HE) DE LA CELLULE | lyse - leuco - cyto |  - +
leucocytométrie | MESURE  BLANC(HE) DE LA CELLULE | métrie - leuco - cyto | métro (métron) - +
leucocytothérapie | MÉDECINE  BLANC(HE) DE LA CELLULE | thérapie - leuco - cyto | thérapie - +
leucodystrophie | NOURRITURE / CROISSANCE  BLANC(HE) DU TROUBLE | trophie - leuco - dys | tropho - +
leucoencéphalite | INFLAMMATION  BLANC(HE) DU CERVEAU | ite - leuco - encéphal |  - +
leucoencéphalopathie | MALADIE  BLANC(HE) DU CERVEAU | pathie - leuco - encéphalo | patho (souffrance) - +
leucographite | INFLAMMATION  BLANC(HE) DE L'ÉCRITURE | ite - leuco - graph |  - +grapho
leucomélanodermie | PEAU  BLANC(HE) NOIR(E) | dermie - leuco - mélano |  - +
leucomyélite | INFLAMMATION  BLANC(HE) DE LA MOELLE | ite - leuco - myél |  - +
leucothrombopénie | PAUVRETÉ  BLANC(HE) DU CAILLOT | pénie - leuco - thrombo |  - +
leucotoxique | À PROPOS  BLANC(HE) TOXIQUE | ique - leuco - tox |  - +
lévocardiogramme | ÉCRITURE  À GAUCHE DU CŒUR | gramme - lévo - cardio | gramma - +
lipoatrophie | NOURRITURE / CROISSANCE  DE LA GRAISSE SANS | trophie - lipo - a | tropho - lipo+a
lipoatrophique | NOURRITURE / CROISSANCE  DE LA GRAISSE SANS | trophique - lipo - a | tropho - lipo+a
lipodystrophie | NOURRITURE / CROISSANCE  DE LA GRAISSE DU TROUBLE | trophie - lipo - dys | tropho - lipo+
lipomélanique | À PROPOS  DE LA GRAISSE NOIR(E) | ique - lipo - mélan |  - lipo+
liponéogenèse | CRÉATION  DE LA GRAISSE NOUVEAU (-VELLE) | genèse - lipo - néo | gène - lipo+
lipoperoxydation | ACTION  DE LA GRAISSE À TRAVERS / DE PART EN PART / TERMINER / INTENSE DE L'OXYGÈNE / DE L'ACIDE | ation - lipo - per - oxyd | ation - lipo++oxy : acide
lipophagique | À PROPOS  DE LA GRAISSE MANGÉ(E) / QUI MANGE | ique - lipo - phag |  - lipo+phago
lipopolysaccharide | APPARENCE  DE LA GRAISSE MULTIPLE DU SUCRE | ide - lipo - poly - sacchar | eidos - lipo++saccharo
lipoprotéinémie | SANG  DE LA GRAISSE DE LA PROTÉINE | émie - lipo - protéin |  - lipo+
lipoprotéinogramme | ÉCRITURE  DE LA GRAISSE DE LA PROTÉINE | gramme - lipo - protéino | gramma - lipo+
lipoprotéique | À PROPOS  DE LA GRAISSE DE LA PROTÉINE | ique - lipo - proté |  - lipo+
lithocholique | À PROPOS  DE LA PIERRE DE LA BILE | ique - litho - chol |  - litho+
lithochromique | À PROPOS  DE LA PIERRE DE LA COULEUR | ique - litho - chrom |  - litho+chromo
lithochromiste | ADEPTE / SPÉCIALISTE  DE LA PIERRE DE LA COULEUR | iste - litho - chrom |  - litho+chromo
lithodialyse | DÉCOMPOSITION  DE LA PIERRE À TRAVERS | lyse - litho - dia |  - litho+
lithoglyphique | À PROPOS  DE LA PIERRE DE LA GRAVURE | ique - litho - glyph |  - litho+
lithomorphite | INFLAMMATION  DE LA PIERRE DE LA FORME | ite - litho - morph |  - litho+morpho
lithophotographie | ÉCRITURE  DE LA PIERRE DE LA LUMIÈRE | graphie - litho - photo | grapho - litho+
lithostratigraphie | ÉCRITURE  DE LA PIERRE DE LA STRATE | graphie - litho - strati | grapho - litho+strato (stratus)
lithostratigraphique | ÉCRITURE  DE LA PIERRE DE LA STRATE | graphique - litho - strati | grapho - litho+strato (stratus)
lithotypographie | ÉCRITURE  DE LA PIERRE DE L'EMPREINTE | graphie - litho - typo | grapho - litho+
logodiarrhée | ÉCOULEMENT  DE LA PAROLE À TRAVERS | rrhée - logo - dia |  - logo+
logopédique | À PROPOS  DE LA PAROLE DE L'ENFANT | ique - logo - péd |  - logo+pédo (paidos)
logopédiste | ADEPTE / SPÉCIALISTE  DE LA PAROLE DE L'ENFANT | iste - logo - péd |  - logo+pédo (paidos)
logotachygraphe | QUI ÉCRIT  DE LA PAROLE RAPIDE | graphe - logo - tachy | grapho - logo+
lymphadénectomie | ABLATION  LIQUIDE DE LA GLANDE | ectomie - lymph - adén |  - +
lymphadénite | INFLAMMATION  LIQUIDE DE LA GLANDE | ite - lymph - adén |  - +
lymphadénoïde | APPARENCE  LIQUIDE DE LA GLANDE | ïde - lymph - adéno |  - +
lymphadénome | TUMEUR  LIQUIDE DE LA GLANDE | ome - lymph - adén |  - +
lymphadénopathie | MALADIE  LIQUIDE DE LA GLANDE | pathie - lymph - adéno | patho (souffrance) - +
lymphadénopathique | MALADIE  LIQUIDE DE LA GLANDE | pathique - lymph - adéno | patho (souffrance) - +
lymphadénose | MALADIE  LIQUIDE SANS ENLEVER | nose - lymph - a - dé | noso - +a+
lymphangiectasie | DILATATION  LIQUIDE DU VAISSEAU | ectasie - lymph - angi |  - +
lymphangiectomie | ABLATION  LIQUIDE DU VAISSEAU | ectomie - lymph - angi |  - +
lymphangiome | TUMEUR  LIQUIDE DU VAISSEAU | ome - lymph - angi |  - +
lymphangioplastie | FAÇONNEMENT  LIQUIDE DU VAISSEAU | plastie - lymph - angio | plasmo - +
lymphoblastique | À PROPOS  LIQUIDE DU GERME | ique - lympho - blast |  - +
lymphoblastome | TUMEUR  LIQUIDE DU GERME | ome - lympho - blast |  - +
lymphocytogenèse | CRÉATION  LIQUIDE DE LA CELLULE | genèse - lympho - cyto | gène - +
lymphocytolyse | DÉCOMPOSITION  LIQUIDE DE LA CELLULE | lyse - lympho - cyto |  - +
lymphocytopénie | PAUVRETÉ  LIQUIDE DE LA CELLULE | pénie - lympho - cyto |  - +
lymphocytopoïèse | CRÉATION  LIQUIDE DE LA CELLULE | poïèse - lympho - cyto | poïèse - +
lymphocytotoxique | À PROPOS  LIQUIDE DE LA CELLULE TOXIQUE | ique - lympho - cyto - tox |  - ++
lymphodialyse | DÉCOMPOSITION  LIQUIDE À TRAVERS | lyse - lympho - dia |  - +
lympholeucocyte | CELLULE  LIQUIDE BLANC(HE) | cyte - lympho - leuco |  - +
macrobiologique | ÉTUDE  GRAND(E) DE LA VIE | logique - macro - bio | logo - macro+bio
macroéconométrique | MESURAGE  GRAND(E) DE LA MAISON -> DE L'ÉCONOMIE | métrique - macro - écono | métro (métron) - macro+
macroéconomie | LOI  GRAND(E) DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE | nomie - macro - éco |  - macro+
macroéconomique | LOI  GRAND(E) DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE | nomique - macro - éco |  - macro+
macroglossite | INFLAMMATION  GRAND(E) DE LA LANGUE | ite - macro - gloss |  - macro+glosso
macrolépidoptère | AILE  GRAND(E) DE L'ÉCAILLE | ptère - macro - lépido |  - macro+
macrolymphocyte | CELLULE  GRAND(E) LIQUIDE | cyte - macro - lympho |  - macro+
macrophagique | À PROPOS  GRAND(E) MANGÉ(E) / QUI MANGE | ique - macro - phag |  - macro+phago
macrophotographie | ÉCRITURE  GRAND(E) DE LA LUMIÈRE | graphie - macro - photo | grapho - macro+
macrophotographique | ÉCRITURE  GRAND(E) DE LA LUMIÈRE | graphique - macro - photo | grapho - macro+
macrosociologie | ÉTUDE  GRAND(E) PARTAGÉ(E) | logie - macro - socio | logo - macro+
macrosociologique | ÉTUDE  GRAND(E) PARTAGÉ(E) | logique - macro - socio | logo - macro+
macrotoponyme | NOM  GRAND(E) DU LIEU | nyme - macro - topo |  - macro+
magnétoaérodynamique | MOUVEMENT  DE L'AIMANT DE L'AIR | dynamique - magnéto - aéro | dyne - magnéto+
magnétocardiographie | ÉCRITURE  DE L'AIMANT DU CŒUR | graphie - magnéto - cardio | grapho - magnéto+
magnétohydrodynamique | MOUVEMENT  DE L'AIMANT DE L'EAU | dynamique - magnéto - hydro | dyne - magnéto+hydro
magnétoplasmadynamique | MOUVEMENT  DE L'AIMANT DE LA FORMATION | dynamique - magnéto - plasma | dyne - magnéto+plasmo
magnétostratigraphie | ÉCRITURE  DE L'AIMANT DE LA STRATE | graphie - magnéto - strati | grapho - magnéto+strato (stratus)
magnétothermique | À PROPOS  DE L'AIMANT DE LA CHALEUR | ique - magnéto - therm |  - magnéto+thermo
malabare | POIDS / PRESSION  MAUVAIS(E) SANS | bare - mal - a | baro - mal+a
malactinide | APPARENCE  MAUVAIS(E) DU RAYON | ide - mal - actin | eidos - mal+
malandreuse | AGENTE / QUALITÉ  MAUVAIS(E) DE L'HOMME / DU MALE | euse - mal - andr |  - mal+andro
malandreux | AGENT / QUALITÉ  MAUVAIS(E) DE L'HOMME / DU MALE | eux - mal - andr |  - mal+andro
mastocytoxanthome | TUMEUR  DU SEIN DE LA CELLULE JAUNE | ome - masto - cyto - xanth |  - ++
mastodontoïde | APPARENCE  DU SEIN DE LA DENT | ïde - mast(o) - odonto |  - +
mastodontosaure | LÉZARD  DU SEIN DE LA DENT | saure - mast(o) - odonto |  - +
mastozoologie | ÉTUDE  DU SEIN DE L'ANIMAL | logie - masto - zoo | logo - +
mécanocardiographie | ÉCRITURE  DE LA MACHINE DU CŒUR | graphie - mécano - cardio | grapho - mécano+
mégacaryoblaste | GERME  GRAND(E) / MILLION DU NOYAU | blaste - méga - caryo |  - mégalo+caryo
mégacaryocyte | CELLULE  GRAND(E) / MILLION DU NOYAU | cyte - méga - caryo |  - mégalo+caryo
mégacaryocytopoïèse | CRÉATION  GRAND(E) / MILLION DU NOYAU DE LA CELLULE | poïèse - méga - caryo - cyto | poïèse - mégalo+caryo+
mégachiroptère | AILE  GRAND(E) / MILLION DE LA MAIN | ptère - méga - chiro |  - mégalo+chiro
mégaloblastique | À PROPOS  GRAND(E) DU GERME | ique - mégalo - blast |  - mégalo+
mégamycétome | TUMEUR  GRAND(E) / MILLION DU CHAMPIGNON | ome - méga - mycét |  - mégalo+
mégathrombocyte | CELLULE  GRAND(E) / MILLION DU CAILLOT | cyte - méga - thrombo |  - mégalo+
mélanoblastome | TUMEUR  NOIR(E) DU GERME | ome - mélano - blast |  - +
mélanocérite | INFLAMMATION  NOIR(E) DE LA CIRE | ite - mélano - cér |  - +
mélanodendrocyte | CELLULE  NOIR(E) ARBORESCENT(E) | cyte - mélano - dendro |  - +dendron
mélanodermite | INFLAMMATION  NOIR(E) DE LA PEAU | ite - mélano - derm |  - +
mélanogénocyte | CELLULE  NOIR(E) DE LA RACE | cyte - mélano - géno |  - +gène
mélodieuse | AGENTE / QUALITÉ  DU CHANT DOUBLE | euse - mélo - di |  - mélos : chant+di
mélodieux | AGENT / QUALITÉ  DU CHANT DOUBLE | eux - mélo - di |  - mélos : chant+di
ménométrorragie | ÉCOULEMENT  MENSUEL(LE) -> PÉRIODIQUE DE LA MESURE | rragie - méno - métro |  - +métro (métron)
ménothermique | À PROPOS  MENSUEL(LE) -> PÉRIODIQUE DE LA CHALEUR | ique - méno - therm |  - +thermo
mésoblastique | À PROPOS  DU MILIEU DU GERME | ique - méso - blast |  - +
mésocolopexie | FIXATION  DU MILIEU DU CÔLON | pexie - méso - colo |  - +
mésodermotropisme | ATTIRANCE  DU MILIEU DE LA PEAU | tropisme - méso - dermo | trope - +
mésoduodénite | INFLAMMATION  DU MILIEU DU DUODÉNUM | ite - méso - duodén |  - +
mésoneurite | INFLAMMATION  DU MILIEU DES NERFS | ite - méso - neur |  - +
métachromatique | À PROPOS  AU-DELÀ / APRÈS DE LA COULEUR | ique - méta - chromat |  - +chromo
métachromatisme | DOCTRINE / ÉTAT / PROFESSION  AU-DELÀ / APRÈS DE LA COULEUR | isme - méta - chromat |  - +chromo
métamorphiste | ADEPTE / SPÉCIALISTE  AU-DELÀ / APRÈS DE LA FORME | iste - méta - morph |  - +morpho
métamorphopsie | VISION  AU-DELÀ / APRÈS DE LA FORME | opsie - méta - morph |  - +morpho
métamyélocyte | CELLULE  AU-DELÀ / APRÈS DE LA MOELLE | cyte - méta - myélo |  - +
métaphysiologie | ÉTUDE  AU-DELÀ / APRÈS DU CORPS | logie - méta - physio | logo - +physio
métaphysiologique | ÉTUDE  AU-DELÀ / APRÈS DU CORPS | logique - méta - physio | logo - +physio
métaphysiologiste | SPÉCIALISTE  AU-DELÀ / APRÈS DU CORPS | logiste - méta - physio | logo - +physio
métapréfixe | FIXER  AU-DELÀ / APRÈS AVANT | fixe - méta - pré |  - +
métapsychique | À PROPOS  AU-DELÀ / APRÈS DE L'ÂME | ique - méta - psych |  - +
métapsychiste | ADEPTE / SPÉCIALISTE  AU-DELÀ / APRÈS DE L'ÂME | iste - méta - psych |  - +
métapsychologie | ÉTUDE  AU-DELÀ / APRÈS DE L'ÂME | logie - méta - psycho | logo - +
métapsychologique | ÉTUDE  AU-DELÀ / APRÈS DE L'ÂME | logique - méta - psycho | logo - +
météoropathologie | ÉTUDE  DU CIEL DE LA MALADIE | logie - météoro - patho | logo - météoro+patho (souffrance)
météoropathologique | ÉTUDE  DU CIEL DE LA MALADIE | logique - météoro - patho | logo - météoro+patho (souffrance)
métrophlébite | INFLAMMATION  DE LA MATRICE DE LA VEINE | ite - métro - phléb |  - métro (mêtra)+
miacoïde | APPARENCE  DE LA MOITIÉ SANS AVEC | ïde - mi - a - co |  - mi+a+
microanalyse | DÉCOMPOSITION  PETIT(E) DE L'AUTRE / À TRAVERS / À NOUVEAU / VERS LE HAUT | lyse - micro - ana |  - micro+
microangiopathie | MALADIE  PETIT(E) DU VAISSEAU | pathie - micro - angio | patho (souffrance) - micro+
microbicide | QUI TUE  PETIT(E) DOUBLE | cide - micro - bi |  - micro+bi
microbiologie | ÉTUDE  PETIT(E) DE LA VIE | logie - micro - bio | logo - micro+bio
microbiologique | ÉTUDE  PETIT(E) DE LA VIE | logique - micro - bio | logo - micro+bio
microbiologiste | SPÉCIALISTE  PETIT(E) DE LA VIE | logiste - micro - bio | logo - micro+bio
microcalorimètre | MESUREUR  PETIT(E) DE LA CHALEUR | mètre - micro - calori | métro (métron) - micro+calori
microcalorimétrie | MESURE  PETIT(E) DE LA CHALEUR | métrie - micro - calori | métro (métron) - micro+calori
microcalorimétrique | MESURAGE  PETIT(E) DE LA CHALEUR | métrique - micro - calori | métro (métron) - micro+calori
microchiroptère | AILE  PETIT(E) DE LA MAIN | ptère - micro - chiro |  - micro+chiro
microcinématographie | ÉCRITURE  PETIT(E) DU MOUVEMENT | graphie - micro - cinémato | grapho - micro+cinèse
microcinématographique | ÉCRITURE  PETIT(E) DU MOUVEMENT | graphique - micro - cinémato | grapho - micro+cinèse
microclimatologie | ÉTUDE  PETIT(E) DE L'INCLINAISON -> DU CLIMAT | logie - micro - climato | logo - micro+
microcomparateur | AGENT  PETIT(E) AVEC À TRAVERS / DE PART EN PART / TERMINER / INTENSE | ateur - micro - com - par |  - micro++
microdensimètre | MESUREUR  PETIT(E) DENSE | mètre - micro - densi | métro (métron) - micro+
microdontisme | DOCTRINE / ÉTAT / PROFESSION  PETIT(E) DE LA DENT | isme - micr(o) - odont |  - micro+
microéconométrie | MESURE  PETIT(E) DE LA MAISON -> DE L'ÉCONOMIE | métrie - micro - écono | métro (métron) - micro+
microéconomie | LOI  PETIT(E) DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE | nomie - micro - éco |  - micro+
microéconomique | LOI  PETIT(E) DE LA MAISON -> DE L'ÉCOLOGIE / DE L'ÉCONOMIE | nomique - micro - éco |  - micro+
microélectronique | À PROPOS  PETIT(E) DE L'AMBRE -> DE L'ÉLECTRICITÉ | ique - micro - électron |  - micro+électricité
microfluorométrie | MESURE  PETIT(E) DU FLUOR | métrie - micro - fluoro | métro (métron) - micro+
microhématurie | URINE  PETIT(E) DU SANG | urie - micro - hémat |  - micro+
microhémoculture | CULTURE  PETIT(E) DU SANG | culture - micro - hémo | cult - micro+
microlépidoptère | AILE  PETIT(E) DE L'ÉCAILLE | ptère - micro - lépido |  - micro+
microlithographie | ÉCRITURE  PETIT(E) DE LA PIERRE | graphie - micro - litho | grapho - micro+litho
micromanomètre | MESUREUR  PETIT(E) DE LA PRESSION | mètre - micro - mano | métro (métron) - micro+mano
micromorphologie | ÉTUDE  PETIT(E) DE LA FORME | logie - micro - morpho | logo - micro+morpho
micromorphologique | ÉTUDE  PETIT(E) DE LA FORME | logique - micro - morpho | logo - micro+morpho
microparasite | NOURRITURE  PETIT(E) À COTÉ | site - micro - para |  - micro+para
microphotographie | ÉCRITURE  PETIT(E) DE LA LUMIÈRE | graphie - micro - photo | grapho - micro+
microphotographique | ÉCRITURE  PETIT(E) DE LA LUMIÈRE | graphique - micro - photo | grapho - micro+
microphytique | À PROPOS  PETIT(E) DU VÉGÉTAL | ique - micro - phyt |  - micro+
micropolyadénopathie | MALADIE  PETIT(E) MULTIPLE DE LA GLANDE | pathie - micro - poly - adéno | patho (souffrance) - micro++
microprogramme | ÉCRITURE  PETIT(E) DEVANT / EN FAVEUR DE / À LA PLACE DE | gramme - micro - pro | gramma - micro+
micropyrotechnie | TECHNIQUE  PETIT(E) DU FEU | technie - micro - pyro |  - micro+
microradiographie | ÉCRITURE  PETIT(E) DU RAYONNEMENT | graphie - micro - radio | grapho - micro+
microschizogonie | PROCRÉATION  PETIT(E) FENDU(E) | gonie - micro - schizo | gono (gonos) - micro+
microsérologie | ÉTUDE  PETIT(E) DU SÉRUM | logie - micro - séro | logo - micro+
microsociologie | ÉTUDE  PETIT(E) PARTAGÉ(E) | logie - micro - socio | logo - micro+
microsociologique | ÉTUDE  PETIT(E) PARTAGÉ(E) | logique - micro - socio | logo - micro+
microspectrophotométrie | MESURE  PETIT(E) DU SPECTRE DE LA LUMIÈRE | métrie - micro - spectro - photo | métro (métron) - micro++
microspectroscope | VISIONNEUSE  PETIT(E) DU SPECTRE | scope - micro - spectro | scope - micro+
microsporique | À PROPOS  PETIT(E) DE L'ENSEMENCEMENT / DE LA DISSÉMINATION / DE LA DISPERSION | ique - micro - spor |  - micro+
microtechnologie | ÉTUDE  PETIT(E) DE LA TECHNIQUE | logie - micro - techno | logo - micro+
microtoponyme | NOM  PETIT(E) DU LIEU | nyme - micro - topo |  - micro+
milliéquivalent | VALEUR / SENS / CAPACITÉ / ASPECT  DU MILLIÈME DE L'ÉGAL | valent - milli - équi | valent - +
monoacide | QUI TUE  UNIQUE SANS | cide - mono - a |  - +a
monoarthrite | INFLAMMATION  UNIQUE DE L'ARTICULATION | ite - mono - arthr |  - +
monoatomique | DÉCOUPE  UNIQUE SANS | tomique - mono - a | tomo - +a
monoblastique | À PROPOS  UNIQUE DU GERME | ique - mono - blast |  - +
monocalcique | À PROPOS  UNIQUE DU CALCIUM | ique - mono - calc |  - +
monocarboxylique | À PROPOS  UNIQUE DU CHARBON DU BOIS | ique - mono - carbo - xyl |  - +carbo+xylo
monocardiogramme | ÉCRITURE  UNIQUE DU CŒUR | gramme - mono - cardio | gramma - +
monochloracétique | À PROPOS  UNIQUE CHLORÉ(E) DE L'ACIDE ACÉTIQUE | ique - mono - chlor - acét |  - +chloro : chlore+
monochromateur | AGENT  UNIQUE DE LA COULEUR | ateur - mono - chrom |  - +chromo
monochromatique | À PROPOS  UNIQUE DE LA COULEUR | ique - mono - chromat |  - +chromo
