mot;DÉFINITION;préfixe;suffixe;niveau préfixe;niveau suffixe;unicité préfixe;unicité suffixe;fréq. préfixe;fréq. suffixe
lépidocère;CORNE  DE L'ÉCAILLE;lépido;cère;3;3;;cérato;Moyen;Frequent
lépidodendron;ARBRE  DE L'ÉCAILLE;lépido;dendron;3;3;;dendron;Moyen;Rare
lépidolithe;PIERRE  DE L'ÉCAILLE;lépido;lithe;3;2;;litho;Moyen;Frequent
lépidoptère;AILE  DE L'ÉCAILLE;lépido;ptère;3;2;;;Moyen;Frequent
leptocéphale;TÊTE  MINCE;lepto;céphale;3;2;;;Moyen;Frequent
leptocère;CORNE  MINCE;lepto;cère;3;3;;cérato;Moyen;Frequent
leptocyte;CELLULE  MINCE;lepto;cyte;3;2;;;Moyen;Frequent
leptodactyle;DOIGT  MINCE;lepto;dactyle;3;2;;dactylo;Moyen;Frequent
leptogenèse;CRÉATION  MINCE;lepto;genèse;3;2;;gène;Moyen;Frequent
leptoïde;APPARENCE  MINCE;lepto;ïde;3;3;;;Moyen;Frequent
leptolithique;PIERRE  MINCE;lepto;lithique;3;2;;litho;Moyen;Frequent
leptologie;ÉTUDE  MINCE;lepto;logie;3;1;;logo;Moyen;Frequent
leptomère;PARTIE  MINCE;lepto;mère;3;3;;;Moyen;Frequent
leptomorphe;FORME  MINCE;lepto;morphe;3;1;;morpho;Moyen;Frequent
leptomorphique;FORME  MINCE;lepto;morphique;3;1;;morpho;Moyen;Moyen
leptophonie;VOIX  MINCE;lepto;phonie;3;1;;;Moyen;Frequent
leptopode;PIED  MINCE;lepto;pode;3;2;;;Moyen;Frequent
leptosome;CORPS  MINCE;lepto;some;3;2;;somato;Moyen;Frequent
leptosomie;CORPS  MINCE;lepto;somie;3;2;;somato;Moyen;Moyen
leucémie;SANG  BLANC(HE);leuc;émie;3;3;;;Moyen;Frequent
leucinose;MALADIE  BLANC(HE);leuci;nose;3;3;;noso;Absent;Moyen
leucite;INFLAMMATION  BLANC(HE);leuc;ite;3;2;;;Moyen;Frequent
leucoblaste;GERME  BLANC(HE);leuco;blaste;3;3;;;Frequent;Frequent
leucocrate;GOUVERNEUR  BLANC(HE);leuco;crate;3;1;;crate;Frequent;Moyen
leucocyte;CELLULE  BLANC(HE);leuco;cyte;3;2;;;Frequent;Frequent
leucoderme;PEAU  BLANC(HE);leuco;derme;3;1;;;Frequent;Frequent
leucodermie;PEAU  BLANC(HE);leuco;dermie;3;1;;;Frequent;Moyen
leucodermique;PEAU  BLANC(HE);leuco;dermique;3;1;;;Frequent;Frequent
leucogène;GÉNÉRATEUR / ORIGINE  BLANC(HE);leuco;gène;3;2;;gène;Frequent;Frequent
leucogenèse;CRÉATION  BLANC(HE);leuco;genèse;3;2;;gène;Frequent;Frequent
leucogénie;DÉVELOPPEMENT  BLANC(HE);leuco;génie;3;2;;gène;Frequent;Frequent
leucogramme;ÉCRITURE  BLANC(HE);leuco;gramme;3;2;;gramma;Frequent;Frequent
leucographie;ÉCRITURE  BLANC(HE);leuco;graphie;3;2;;grapho;Frequent;Frequent
leucolyse;DÉCOMPOSITION  BLANC(HE);leuco;lyse;3;2;;;Frequent;Frequent
leucomalacie;RAMOLLISSEMENT  BLANC(HE);leuco;malacie;3;3;;malaco;Frequent;Moyen
leucome;TUMEUR  BLANC(HE);leuc(o);ome;3;2;;;Frequent;Frequent
leucopathie;MALADIE  BLANC(HE);leuco;pathie;3;2;;patho (souffrance);Frequent;Frequent
leucopénie;PAUVRETÉ  BLANC(HE);leuco;pénie;3;3;;;Frequent;Frequent
leucophane;APPARITION  BLANC(HE);leuco;phane;3;3;;;Frequent;Moyen
leucoplasie;FAÇONNEMENT  BLANC(HE);leuco;plasie;3;3;;plasmo;Frequent;Frequent
leucoplaste;MODELEUR  BLANC(HE);leuco;plaste;3;3;;plasmo;Frequent;Moyen
leucopode;PIED  BLANC(HE);leuco;pode;3;2;;;Frequent;Frequent
leucopoïèse;CRÉATION  BLANC(HE);leuco;poïèse;3;3;;poïèse;Frequent;Frequent
leucorragie;ÉCOULEMENT  BLANC(HE);leuco;rragie;3;2;;;Frequent;Frequent
leucorrhée;ÉCOULEMENT  BLANC(HE);leuco;rrhée;3;2;;;Frequent;Frequent
leucostase;ARRÊT  BLANC(HE);leuco;stase;3;2;;statos;Frequent;Moyen
leucotome;COUPURE  BLANC(HE);leuco;tome;3;2;;tomo;Frequent;Frequent
leucotomie;DÉCOUPE  BLANC(HE);leuco;tomie;3;2;;tomo;Frequent;Frequent
leucoxène;HÔTE  BLANC(HE);leuco;xène;3;2;;xéno;Frequent;Moyen
lévigée;TERRE  LÉGER;lévi;gée;3;3;;;Rare;Moyen
lévirostre;BEC  LÉGER;lévi;rostre;3;3;;;Rare;Moyen
lévocardie;CŒUR  À GAUCHE;lévo;cardie;3;1;;;Rare;Moyen
lévogramme;ÉCRITURE  À GAUCHE;lévo;gramme;3;2;;gramma;Rare;Frequent
lévogyre;QUI TOURNE  À GAUCHE;lévo;gyre;3;2;;;Rare;Moyen
lexicographe;QUI ÉCRIT  DE LA LECTURE;lexico;graphe;2;2;;grapho;Moyen;Frequent
lexicographie;ÉCRITURE  DE LA LECTURE;lexico;graphie;2;2;;grapho;Moyen;Frequent
lexicographique;ÉCRITURE  DE LA LECTURE;lexico;graphique;2;2;;grapho;Moyen;Frequent
lexicologie;ÉTUDE  DE LA LECTURE;lexico;logie;2;1;;logo;Moyen;Frequent
lexicologique;ÉTUDE  DE LA LECTURE;lexico;logique;2;1;;logo;Moyen;Frequent
lexicologue;SPÉCIALISTE / DISCOURS  DE LA LECTURE;lexico;logue;2;1;;logo;Moyen;Frequent
lexicométrie;MESURE  DE LA LECTURE;lexico;métrie;2;1;;métro (métron);Moyen;Frequent
lipoblaste;GERME  DE LA GRAISSE;lipo;blaste;2;3;lipo;;Frequent;Frequent
lipocèle;TUMEUR / HERNIE  DE LA GRAISSE;lipo;cèle;2;3;lipo;;Frequent;Frequent
lipochimie;CHIMIE  DE LA GRAISSE;lipo;chimie;2;1;lipo;chimie;Frequent;Frequent
lipochrome;COULEUR  DE LA GRAISSE;lipo;chrome;2;1;lipo;chromo;Frequent;Frequent
lipochromie;COULEUR  DE LA GRAISSE;lipo;chromie;2;1;lipo;chromo;Frequent;Frequent
lipocyte;CELLULE  DE LA GRAISSE;lipo;cyte;2;2;lipo;;Frequent;Frequent
lipogène;GÉNÉRATEUR / ORIGINE  DE LA GRAISSE;lipo;gène;2;2;lipo;gène;Frequent;Frequent
lipogenèse;CRÉATION  DE LA GRAISSE;lipo;genèse;2;2;lipo;gène;Frequent;Frequent
lipogramme;ÉCRITURE  DE LA GRAISSE;lipo;gramme;2;2;lipo;gramma;Frequent;Frequent
lipoïde;APPARENCE  DE LA GRAISSE;lipo;ïde;2;3;lipo;;Frequent;Frequent
lipolyse;DÉCOMPOSITION  DE LA GRAISSE;lipo;lyse;2;2;lipo;;Frequent;Frequent
lipolytique;DÉCOMPOSITION  DE LA GRAISSE;lipo;lytique;2;2;lipo;;Frequent;Frequent
lipome;TUMEUR  DE LA GRAISSE;lip(o);ome;2;2;lipo;;Frequent;Frequent
lipophile;AMOUREUX  DE LA GRAISSE;lipo;phile;2;1;lipo;philo;Frequent;Frequent
lipophilie;AMOUR  DE LA GRAISSE;lipo;philie;2;1;lipo;philo;Frequent;Frequent
lipophobe;QUI A HORREUR  DE LA GRAISSE;lipo;phobe;2;1;lipo;phobe;Frequent;Frequent
lipoplastie;FAÇONNEMENT  DE LA GRAISSE;lipo;plastie;2;3;lipo;plasmo;Frequent;Frequent
liposome;CORPS  DE LA GRAISSE;lipo;some;2;2;lipo;somato;Frequent;Frequent
liposynthèse;COMPOSITION  DE LA GRAISSE;lipo;synthèse;2;2;lipo;;Frequent;Moyen
lipotrope;ORIENTATION  DE LA GRAISSE;lipo;trope;2;2;lipo;trope;Frequent;Frequent
lipotropie;ATTIRANCE  DE LA GRAISSE;lipo;tropie;2;2;lipo;trope;Frequent;Moyen
lithobie;VIE  DE LA PIERRE;litho;bie;2;1;litho;bio;Frequent;Moyen
lithocarpe;FRUIT  DE LA PIERRE;litho;carpe;2;3;litho;karpos : fruit;Frequent;Frequent
lithochrome;COULEUR  DE LA PIERRE;litho;chrome;2;1;litho;chromo;Frequent;Frequent
lithochromie;COULEUR  DE LA PIERRE;litho;chromie;2;1;litho;chromo;Frequent;Frequent
lithoclase;CASSURE  DE LA PIERRE;litho;clase;2;3;litho;clase;Frequent;Moyen
lithoclaste;CASSEUR  DE LA PIERRE;litho;claste;2;3;litho;clase;Frequent;Moyen
lithogène;GÉNÉRATEUR / ORIGINE  DE LA PIERRE;litho;gène;2;2;litho;gène;Frequent;Frequent
lithogenèse;CRÉATION  DE LA PIERRE;litho;genèse;2;2;litho;gène;Frequent;Frequent
lithogénie;DÉVELOPPEMENT  DE LA PIERRE;litho;génie;2;2;litho;gène;Frequent;Frequent
lithoglyphe;GRAVURE  DE LA PIERRE;litho;glyphe;2;2;litho;;Frequent;Moyen
lithographe;QUI ÉCRIT  DE LA PIERRE;litho;graphe;2;2;litho;grapho;Frequent;Frequent
lithographie;ÉCRITURE  DE LA PIERRE;litho;graphie;2;2;litho;grapho;Frequent;Frequent
lithographique;ÉCRITURE  DE LA PIERRE;litho;graphique;2;2;litho;grapho;Frequent;Frequent
lithoïde;APPARENCE  DE LA PIERRE;litho;ïde;2;3;litho;;Frequent;Frequent
litholabe;PRISE  DE LA PIERRE;litho;labe;2;3;litho;;Frequent;Moyen
lithologie;ÉTUDE  DE LA PIERRE;litho;logie;2;1;litho;logo;Frequent;Frequent
lithologique;ÉTUDE  DE LA PIERRE;litho;logique;2;1;litho;logo;Frequent;Frequent
lithologiste;SPÉCIALISTE  DE LA PIERRE;litho;logiste;2;1;litho;logo;Frequent;Frequent
lithologue;SPÉCIALISTE / DISCOURS  DE LA PIERRE;litho;logue;2;1;litho;logo;Frequent;Frequent
litholysie;DÉCOMPOSITION  DE LA PIERRE;litho;lysie;2;2;litho;;Frequent;Moyen
litholytique;DÉCOMPOSITION  DE LA PIERRE;litho;lytique;2;2;litho;;Frequent;Frequent
lithomancie;PRÉDICTION  DE LA PIERRE;litho;mancie;2;2;litho;mancie;Frequent;Frequent
lithopexie;FIXATION  DE LA PIERRE;litho;pexie;2;3;litho;;Frequent;Frequent
lithophage;MANGEUR  DE LA PIERRE;litho;phage;2;2;litho;phago;Frequent;Frequent
lithophanie;APPARITION  DE LA PIERRE;litho;phanie;2;3;litho;;Frequent;Moyen
lithophile;AMOUREUX  DE LA PIERRE;litho;phile;2;1;litho;philo;Frequent;Frequent
lithophone;VOIX  DE LA PIERRE;litho;phone;2;1;litho;;Frequent;Frequent
lithophylle;FEUILLE  DE LA PIERRE;litho;phylle;2;3;litho;;Frequent;Frequent
lithophyte;VÉGÉTAL  DE LA PIERRE;litho;phyte;2;2;litho;;Frequent;Frequent
lithosphère;SPHÈRE  DE LA PIERRE;litho;sphère;2;1;litho;;Frequent;Frequent
lithosphérique;SPHÈRE  DE LA PIERRE;litho;sphérique;2;1;litho;;Frequent;Frequent
lithostatique;ARRÊT  DE LA PIERRE;litho;statique;2;2;litho;statos;Frequent;Frequent
lithotome;COUPURE  DE LA PIERRE;litho;tome;2;2;litho;tomo;Frequent;Frequent
lithotomie;DÉCOUPE  DE LA PIERRE;litho;tomie;2;2;litho;tomo;Frequent;Frequent
lithoxyle;BOIS  DE LA PIERRE;litho;xyle;2;2;litho;xylo;Frequent;Moyen
logocentrisme;CENTRAGE  DE LA PAROLE;logo;centrisme;1;1;logo;centro;Frequent;Moyen
logogramme;ÉCRITURE  DE LA PAROLE;logo;gramme;1;2;logo;gramma;Frequent;Frequent
logographe;QUI ÉCRIT  DE LA PAROLE;logo;graphe;1;2;logo;grapho;Frequent;Frequent
logographie;ÉCRITURE  DE LA PAROLE;logo;graphie;1;2;logo;grapho;Frequent;Frequent
logographique;ÉCRITURE  DE LA PAROLE;logo;graphique;1;2;logo;grapho;Frequent;Frequent
logolâtrie;SERVITEUR -> MERCENAIRE -> ADORATION  DE LA PAROLE;logo;lâtrie;1;2;logo;lâtre;Frequent;Moyen
logomachie;COMBAT  DE LA PAROLE;logo;machie;1;2;logo;;Frequent;Moyen
logomètre;MESUREUR  DE LA PAROLE;logo;mètre;1;1;logo;métro (métron);Frequent;Frequent
logopathie;MALADIE  DE LA PAROLE;logo;pathie;1;2;logo;patho (souffrance);Frequent;Frequent
logopède;PIED  DE LA PAROLE;logo;pède;1;2;logo;;Frequent;Moyen
logopédie;PIED  DE LA PAROLE;logo;pédie;1;2;logo;;Frequent;Moyen
logophanie;APPARITION  DE LA PAROLE;logo;phanie;1;3;logo;;Frequent;Moyen
logophobie;AVERSION  DE LA PAROLE;logo;phobie;1;1;logo;phobe;Frequent;Frequent
logophonique;VOIX  DE LA PAROLE;logo;phonique;1;1;logo;;Frequent;Frequent
logoplégie;PARALYSIE  DE LA PAROLE;logo;plégie;1;2;logo;;Frequent;Frequent
logorrhée;ÉCOULEMENT  DE LA PAROLE;logo;rrhée;1;2;logo;;Frequent;Frequent
logosphère;SPHÈRE  DE LA PAROLE;logo;sphère;1;1;logo;;Frequent;Frequent
logotype;EMPREINTE  DE LA PAROLE;logo;type;1;2;logo;;Frequent;Frequent
loxocosme;UNIVERS  OBLIQUE;loxo;cosme;3;1;;cosmo;Rare;Rare
loxodonte;DENT  OBLIQUE;lox(o);odonte;3;3;;;Rare;Frequent
loxodromie;COURSE  OBLIQUE;loxo;dromie;3;1;;drome;Rare;Moyen
lucifère;PORTER  DE LA LUMIÈRE;luci;fère;2;2;lux;;Rare;Frequent
lucifuge;FUITE  DE LA LUMIÈRE;luci;fuge;2;2;lux;;Rare;Moyen
lucimètre;MESUREUR  DE LA LUMIÈRE;luci;mètre;2;1;lux;métro (métron);Rare;Frequent
ludique;À PROPOS  DU JEU;lud;ique;2;2;;;Moyen;Frequent
ludisme;DOCTRINE / ÉTAT / PROFESSION  DU JEU;lud;isme;2;2;;;Moyen;Frequent
ludothèque;RANGEMENT  DU JEU;ludo;thèque;2;2;;;Rare;Frequent
ludothérapie;MÉDECINE  DU JEU;ludo;thérapie;2;1;;thérapie;Rare;Frequent
luminifère;PORTER  DE LA LUMIÈRE;lumini;fère;1;2;lumen;;Rare;Frequent
luminocinétique;MOUVEMENT  DE LA LUMIÈRE;lumino;cinétique;1;2;lumen;cinèse;Moyen;Moyen
luminogène;GÉNÉRATEUR / ORIGINE  DE LA LUMIÈRE;lumino;gène;1;2;lumen;gène;Moyen;Frequent
luminomètre;MESUREUR  DE LA LUMIÈRE;lumino;mètre;1;1;lumen;métro (métron);Moyen;Frequent
luminophore;PORTEUR  DE LA LUMIÈRE;lumino;phore;1;3;lumen;phore;Moyen;Frequent
luminothérapie;MÉDECINE  DE LA LUMIÈRE;lumino;thérapie;1;1;lumen;thérapie;Moyen;Frequent
lymphagogue;CONDUCTION -> ÉCOULEMENT  LIQUIDE;lymph;agogue;3;2;;agogie : écouler;Moyen;Moyen
lymphémie;SANG  LIQUIDE;lymph;émie;3;3;;;Moyen;Frequent
lymphite;INFLAMMATION  LIQUIDE;lymph;ite;3;2;;;Moyen;Frequent
lymphoblaste;GERME  LIQUIDE;lympho;blaste;3;3;;;Frequent;Frequent
lymphocèle;TUMEUR / HERNIE  LIQUIDE;lympho;cèle;3;3;;;Frequent;Frequent
lymphocyte;CELLULE  LIQUIDE;lympho;cyte;3;2;;;Frequent;Frequent
lymphodermie;PEAU  LIQUIDE;lympho;dermie;3;1;;;Frequent;Moyen
lymphogène;GÉNÉRATEUR / ORIGINE  LIQUIDE;lympho;gène;3;2;;gène;Frequent;Frequent
lymphogenèse;CRÉATION  LIQUIDE;lympho;genèse;3;2;;gène;Frequent;Frequent
lymphogonie;PROCRÉATION  LIQUIDE;lympho;gonie;3;2;;gono (gonos);Frequent;Moyen
lymphographie;ÉCRITURE  LIQUIDE;lympho;graphie;3;2;;grapho;Frequent;Frequent
lymphoïde;APPARENCE  LIQUIDE;lympho;ïde;3;3;;;Frequent;Frequent
lymphologie;ÉTUDE  LIQUIDE;lympho;logie;3;1;;logo;Frequent;Frequent
lympholyse;DÉCOMPOSITION  LIQUIDE;lympho;lyse;3;2;;;Frequent;Frequent
lymphome;TUMEUR  LIQUIDE;lymph(o);ome;3;2;;;Frequent;Frequent
lymphomycose;CHAMPIGNON  LIQUIDE;lympho;mycose;3;2;;;Frequent;Moyen
lymphopathie;MALADIE  LIQUIDE;lympho;pathie;3;2;;patho (souffrance);Frequent;Frequent
lymphopénie;PAUVRETÉ  LIQUIDE;lympho;pénie;3;3;;;Frequent;Frequent
lymphophile;AMOUREUX  LIQUIDE;lympho;phile;3;1;;philo;Frequent;Frequent
lymphoplastie;FAÇONNEMENT  LIQUIDE;lympho;plastie;3;3;;plasmo;Frequent;Frequent
lymphopoïèse;CRÉATION  LIQUIDE;lympho;poïèse;3;3;;poïèse;Frequent;Frequent
lymphorragie;ÉCOULEMENT  LIQUIDE;lympho;rragie;3;2;;;Frequent;Frequent
lymphorrhée;ÉCOULEMENT  LIQUIDE;lympho;rrhée;3;2;;;Frequent;Frequent
lymphostase;ARRÊT  LIQUIDE;lympho;stase;3;2;;statos;Frequent;Moyen
lymphotomie;DÉCOUPE  LIQUIDE;lympho;tomie;3;2;;tomo;Frequent;Frequent
lymphotrope;ORIENTATION  LIQUIDE;lympho;trope;3;2;;trope;Frequent;Frequent
macrobiote;VIE  GRAND(E);macro;biote;2;1;macro;bio;Frequent;Moyen
macrobiotique;VIE  GRAND(E);macro;biotique;2;1;macro;bio;Frequent;Moyen
macrocéphale;TÊTE  GRAND(E);macro;céphale;2;2;macro;;Frequent;Frequent
macrocéphalie;TÊTE  GRAND(E);macro;céphalie;2;2;macro;;Frequent;Frequent
macrocère;CORNE  GRAND(E);macro;cère;2;3;macro;cérato;Frequent;Frequent
macrocerque;QUEUE  GRAND(E);macro;cerque;2;3;macro;;Frequent;Moyen
macrochire;MAIN  GRAND(E);macro;chire;2;2;macro;chiro;Frequent;Rare
macrochirie;MAIN  GRAND(E);macro;chirie;2;2;macro;chiro;Frequent;Rare
macrocosme;UNIVERS  GRAND(E);macro;cosme;2;1;macro;cosmo;Frequent;Rare
macrocosmique;UNIVERSALITÉ  GRAND(E);macro;cosmique;2;1;macro;cosmo;Frequent;Rare
macrocycle;CERCLE  GRAND(E);macro;cycle;2;1;macro;cyclo;Frequent;Moyen
macrocyclique;CIRCULARITÉ  GRAND(E);macro;cyclique;2;1;macro;cyclo;Frequent;Frequent
macrocyste;VESSIE -> VÉSICULE  GRAND(E);macro;cyste;2;3;macro;;Frequent;Moyen
macrocyte;CELLULE  GRAND(E);macro;cyte;2;2;macro;;Frequent;Frequent
macrodactyle;DOIGT  GRAND(E);macro;dactyle;2;2;macro;dactylo;Frequent;Frequent
macrodactylie;DOIGT  GRAND(E);macro;dactylie;2;2;macro;dactylo;Frequent;Moyen
macrodontie;DENT  GRAND(E);macr(o);odontie;2;3;macro;;Frequent;Moyen
macroglosse;LANGUE  GRAND(E);macro;glosse;2;3;macro;glosso;Frequent;Frequent
macroglossie;LANGUE  GRAND(E);macro;glossie;2;3;macro;glosso;Frequent;Moyen
macrognathie;MÂCHOIRE  GRAND(E);macro;gnathie;2;3;macro;;Frequent;Moyen
macrographe;QUI ÉCRIT  GRAND(E);macro;graphe;2;2;macro;grapho;Frequent;Frequent
macrographie;ÉCRITURE  GRAND(E);macro;graphie;2;2;macro;grapho;Frequent;Frequent
macrographique;ÉCRITURE  GRAND(E);macro;graphique;2;2;macro;grapho;Frequent;Frequent
macrologie;ÉTUDE  GRAND(E);macro;logie;2;1;macro;logo;Frequent;Frequent
macromélie;MEMBRE  GRAND(E);macro;mélie;2;3;macro;mélos : membre;Frequent;Moyen
macromère;PARTIE  GRAND(E);macro;mère;2;3;macro;;Frequent;Frequent
macromycète;CHAMPIGNON  GRAND(E);macro;mycète;2;2;macro;;Frequent;Moyen
macrophage;MANGEUR  GRAND(E);macro;phage;2;2;macro;phago;Frequent;Frequent
macrophylle;FEUILLE  GRAND(E);macro;phylle;2;3;macro;;Frequent;Frequent
macrophyte;VÉGÉTAL  GRAND(E);macro;phyte;2;2;macro;;Frequent;Frequent
macropode;PIED  GRAND(E);macro;pode;2;2;macro;;Frequent;Frequent
macropsie;VISION  GRAND(E);macr(o);opsie;2;3;macro;;Frequent;Frequent
macroptère;AILE  GRAND(E);macro;ptère;2;2;macro;;Frequent;Frequent
macroscope;VISIONNEUSE  GRAND(E);macro;scope;2;1;macro;scope;Frequent;Frequent
macroscopie;EXAMEN  GRAND(E);macro;scopie;2;1;macro;scope;Frequent;Frequent
macroscopique;EXAMEN  GRAND(E);macro;scopique;2;1;macro;scope;Frequent;Frequent
macrosomie;CORPS  GRAND(E);macro;somie;2;2;macro;somato;Frequent;Moyen
macrostomie;BOUCHE  GRAND(E);macro;stomie;2;3;macro;;Frequent;Frequent
macrostyle;COLONNE  GRAND(E);macro;style;2;2;macro;;Frequent;Frequent
macrotome;COUPURE  GRAND(E);macro;tome;2;2;macro;tomo;Frequent;Frequent
macrotype;EMPREINTE  GRAND(E);macro;type;2;2;macro;;Frequent;Frequent
macrozoaire;ANIMAL  GRAND(E);macro;zoaire;2;1;macro;;Frequent;Frequent
magnétocalorique;CHALEUR  DE L'AIMANT;magnéto;calorique;1;2;magnéto;calori;Frequent;Moyen
magnétochimie;CHIMIE  DE L'AIMANT;magnéto;chimie;1;1;magnéto;chimie;Frequent;Frequent
magnétochimique;CHIMIQUE  DE L'AIMANT;magnéto;chimique;1;1;magnéto;chimie;Frequent;Frequent
magnétodynamique;MOUVEMENT  DE L'AIMANT;magnéto;dynamique;1;2;magnéto;dyne;Frequent;Frequent
magnétoélastique;ÉLASTIQUE  DE L'AIMANT;magnéto;élastique;1;1;magnéto;;Frequent;Moyen
magnétoélectrique;ÉLECTRIQUE  DE L'AIMANT;magnéto;électrique;1;1;magnéto;électricité;Frequent;Frequent
magnétogramme;ÉCRITURE  DE L'AIMANT;magnéto;gramme;1;2;magnéto;gramma;Frequent;Frequent
magnétographique;ÉCRITURE  DE L'AIMANT;magnéto;graphique;1;2;magnéto;grapho;Frequent;Frequent
magnétologie;ÉTUDE  DE L'AIMANT;magnéto;logie;1;1;magnéto;logo;Frequent;Frequent
magnétomètre;MESUREUR  DE L'AIMANT;magnéto;mètre;1;1;magnéto;métro (métron);Frequent;Frequent
magnétométrie;MESURE  DE L'AIMANT;magnéto;métrie;1;1;magnéto;métro (métron);Frequent;Frequent
magnétométrique;MESURAGE  DE L'AIMANT;magnéto;métrique;1;1;magnéto;métro (métron);Frequent;Frequent
magnétopause;CESSATION  DE L'AIMANT;magnéto;pause;1;2;magnéto;;Frequent;Moyen
magnétophone;VOIX  DE L'AIMANT;magnéto;phone;1;1;magnéto;;Frequent;Frequent
magnétophonique;VOIX  DE L'AIMANT;magnéto;phonique;1;1;magnéto;;Frequent;Frequent
magnétoscope;VISIONNEUSE  DE L'AIMANT;magnéto;scope;1;1;magnéto;scope;Frequent;Frequent
magnétoscopie;EXAMEN  DE L'AIMANT;magnéto;scopie;1;1;magnéto;scope;Frequent;Frequent
magnétoscopique;EXAMEN  DE L'AIMANT;magnéto;scopique;1;1;magnéto;scope;Frequent;Frequent
magnétosphère;SPHÈRE  DE L'AIMANT;magnéto;sphère;1;1;magnéto;;Frequent;Frequent
magnétosphérique;SPHÈRE  DE L'AIMANT;magnéto;sphérique;1;1;magnéto;;Frequent;Frequent
magnétostatique;ARRÊT  DE L'AIMANT;magnéto;statique;1;2;magnéto;statos;Frequent;Frequent
magnétothérapie;MÉDECINE  DE L'AIMANT;magnéto;thérapie;1;1;magnéto;thérapie;Frequent;Frequent
malacoderme;PEAU  MOU (MOLLE);malaco;derme;3;1;malaco;;Moyen;Frequent
malacologie;ÉTUDE  MOU (MOLLE);malaco;logie;3;1;malaco;logo;Moyen;Frequent
malacologique;ÉTUDE  MOU (MOLLE);malaco;logique;3;1;malaco;logo;Moyen;Frequent
malacologiste;SPÉCIALISTE  MOU (MOLLE);malaco;logiste;3;1;malaco;logo;Moyen;Frequent
malacologue;SPÉCIALISTE / DISCOURS  MOU (MOLLE);malaco;logue;3;1;malaco;logo;Moyen;Frequent
malacophile;AMOUREUX  MOU (MOLLE);malaco;phile;3;1;malaco;philo;Moyen;Frequent
malacoplasie;FAÇONNEMENT  MOU (MOLLE);malaco;plasie;3;3;malaco;plasmo;Moyen;Frequent
malacosome;CORPS  MOU (MOLLE);malaco;some;3;2;malaco;somato;Moyen;Frequent
malacozoaire;ANIMAL  MOU (MOLLE);malaco;zoaire;3;1;malaco;;Moyen;Frequent
malandre;HOMME -> MALE  MAUVAIS(E);mal;andre;1;2;mal;andro;Moyen;Moyen
malique;À PROPOS  MAUVAIS(E);mal;ique;1;2;mal;;Moyen;Frequent
mammifère;PORTER  DE LA MAMMELLE;mammi;fère;2;2;;;Rare;Frequent
mammiforme;FORME  DE LA MAMMELLE;mammi;forme;2;1;;forme;Rare;Frequent
manographe;QUI ÉCRIT  DE LA PRESSION;mano;graphe;3;2;mano;grapho;Frequent;Frequent
manographie;ÉCRITURE  DE LA PRESSION;mano;graphie;3;2;mano;grapho;Frequent;Frequent
manomètre;MESUREUR  DE LA PRESSION;mano;mètre;3;1;mano;métro (métron);Frequent;Frequent
manométrie;MESURE  DE LA PRESSION;mano;métrie;3;1;mano;métro (métron);Frequent;Frequent
manométrique;MESURAGE  DE LA PRESSION;mano;métrique;3;1;mano;métro (métron);Frequent;Frequent
manoscope;VISIONNEUSE  DE LA PRESSION;mano;scope;3;1;mano;scope;Frequent;Frequent
manostat;MAINTIEN  DE LA PRESSION;mano;stat;3;2;mano;statos;Frequent;Frequent
manuducteur;QUI CONDUIT  À LA MAIN;manu;ducteur;2;2;;duc;Rare;Moyen
mastalgie;DOULEUR  DU SEIN;mast;algie;3;2;;algos;Moyen;Frequent
mastectomie;ABLATION  DU SEIN;mast;ectomie;3;2;;;Moyen;Frequent
mastique;À PROPOS  DU SEIN;mast;ique;3;2;;;Moyen;Frequent
mastite;INFLAMMATION  DU SEIN;mast;ite;3;2;;;Moyen;Frequent
mastoblaste;GERME  DU SEIN;masto;blaste;3;3;;;Frequent;Frequent
mastocéphale;TÊTE  DU SEIN;masto;céphale;3;2;;;Frequent;Frequent
mastocyte;CELLULE  DU SEIN;masto;cyte;3;2;;;Frequent;Frequent
mastodonte;DENT  DU SEIN;mast(o);odonte;3;3;;;Frequent;Frequent
mastodynie;ÉNERGIE  DU SEIN;masto;dynie;3;2;;dyne;Frequent;Frequent
mastographie;ÉCRITURE  DU SEIN;masto;graphie;3;2;;grapho;Frequent;Frequent
mastoïde;APPARENCE  DU SEIN;masto;ïde;3;3;;;Frequent;Frequent
mastologie;ÉTUDE  DU SEIN;masto;logie;3;1;;logo;Frequent;Frequent
mastologue;SPÉCIALISTE / DISCOURS  DU SEIN;masto;logue;3;1;;logo;Frequent;Frequent
mastopathie;MALADIE  DU SEIN;masto;pathie;3;2;;patho (souffrance);Frequent;Frequent
mastopexie;FIXATION  DU SEIN;masto;pexie;3;3;;;Frequent;Frequent
mastoplastie;FAÇONNEMENT  DU SEIN;masto;plastie;3;3;;plasmo;Frequent;Frequent
mastoptose;CHUTE  DU SEIN;masto;ptose;3;3;;;Frequent;Frequent
mastothèque;RANGEMENT  DU SEIN;masto;thèque;3;2;;;Frequent;Frequent
mastozoaire;ANIMAL  DU SEIN;masto;zoaire;3;1;;;Frequent;Frequent
matriarcat;GOUVERNEMENT  DE LA MÈRE;matri;arcat;1;2;;arche;Moyen;Rare
matriarche;GOUVERNEUR  DE LA MÈRE;matri;arche;1;2;;arche;Moyen;Rare
